order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time,signup_date,city,device_type,acquisition_channel,app_version,experiment_group,session_id,session_date,recommendation_seen,recommendation_clicked,restaurants_viewed,cart_created,order_completed,coupon_used
1477373,139885,Blue Ribbon Sushi Izakaya,Japanese,33.03,Weekend,,21,22,2023-08-21 18:21:11,Bangalore,iOS,Google Ads,4.9.0,Control,S100017,2024-01-21 10:48:11,1,0,1,1,1,1
1477138,47280,RedFarm Hudson,Chinese,14.12,Weekend,4.0,25,24,2023-10-30 20:07:30,Hyderabad,Android,Organic,4.9.0,Control,S100018,2024-01-04 18:51:09,1,0,1,0,1,0
1477354,67487,Blue Ribbon Sushi,Japanese,16.2,Weekend,4.0,35,26,2023-08-22 08:34:29,Mumbai,iOS,Organic,4.8.1,Variant,S100019,2024-01-22 03:06:13,1,0,4,1,1,0
1478296,250494,Five Guys Burgers and Fries,American,24.2,Weekend,4.0,21,24,2023-09-24 16:54:12,Mumbai,Android,Facebook,4.9.0,Variant,S100020,2024-01-10 03:55:43,1,0,4,1,1,0
1478226,137565,Shake Shack,American,15.91,Weekend,,25,20,2023-08-27 15:45:05,Hyderabad,iOS,Organic,4.8.1,Variant,S100021,2024-01-02 04:42:35,1,0,4,1,1,1
1478287,150599,Shake Shack,American,29.1,Weekday,5.0,21,30,2023-12-09 11:56:07,Pune,Android,Organic,4.9.0,Control,S100022,2024-01-15 14:45:52,1,0,2,1,1,1
1478014,54630,Tortaria,Mexican,8.92,Weekend,,33,16,2023-07-21 10:48:11,Mumbai,Android,Referral,4.9.0,Control,S100023,2024-01-27 09:52:11,1,0,4,1,1,0
1476714,363783,Cafe Mogador,Middle Eastern,15.86,Weekday,,32,29,2023-08-22 07:56:13,Bangalore,Android,Google Ads,4.8.1,Control,S100024,2024-01-17 03:47:05,1,0,3,1,1,0
1476693,41877,Cafe Mogador,Middle Eastern,29.1,Weekday,5.0,20,29,2023-09-08 16:11:17,Bangalore,iOS,Google Ads,4.9.0,Control,S100025,2024-01-18 00:28:05,1,1,4,1,1,0
1476995,371590,The Meatball Shop,Italian,21.88,Weekday,5.0,24,27,2023-08-08 17:06:09,Bangalore,iOS,Organic,4.9.0,Variant,S100026,2024-01-12 10:50:36,1,1,8,1,1,0
1476844,175290,Otto Enoteca Pizzeria,Italian,14.02,Weekend,,24,16,2023-10-15 06:05:51,Bangalore,Android,Organic,4.9.0,Variant,S100027,2024-01-16 03:09:31,1,1,8,1,1,1
1477015,76686,Vezzo Thin Crust Pizza,Italian,9.17,Weekend,,21,24,2023-07-02 04:42:35,Bangalore,Android,Facebook,4.8.1,Variant,S100028,2024-01-30 21:36:24,1,0,2,1,1,0
1476889,149984,Sushi of Gari 46,Japanese,12.18,Weekday,,20,29,2023-07-15 14:45:52,Bangalore,Android,Organic,4.9.0,Variant,S100029,2024-01-11 14:44:00,1,1,5,0,1,0
1478289,318874,The Kati Roll Company,Indian,31.33,Weekend,5.0,28,25,2023-12-20 01:07:23,Bangalore,Android,Google Ads,4.9.0,Control,S100030,2024-01-18 22:12:42,1,0,4,1,1,0
1477699,302790,Klong,Thai,29.05,Weekend,5.0,35,24,2023-10-22 05:57:13,Bangalore,iOS,Google Ads,4.9.0,Variant,S100031,2024-01-27 02:04:42,1,0,4,1,1,1
1476855,317794,5 Napkin Burger,American,8.39,Weekday,,35,24,2023-09-04 13:33:09,Chennai,Android,Google Ads,4.9.0,Control,S100032,2024-01-23 05:11:26,1,0,4,1,1,1
1477748,105349,TAO,Japanese,9.12,Weekend,,34,18,2023-12-05 02:05:48,Bangalore,Android,Organic,4.8.1,Control,S100033,2024-01-08 13:53:31,1,1,5,1,1,0
1478244,181782,Parm,Italian,29.1,Weekend,5.0,30,26,2023-10-21 05:19:39,Mumbai,iOS,Organic,4.9.0,Variant,S100034,2024-01-07 02:23:55,1,0,1,1,1,1
1478310,65224,Sushi Samba,Japanese,15.47,Weekend,,32,26,2023-12-23 12:51:36,Hyderabad,Android,Referral,4.9.0,Control,S100035,2024-01-08 12:02:23,1,1,5,1,1,0
1478017,148649,Blue Ribbon Sushi,Japanese,16.01,Weekday,4.0,23,31,2023-10-16 16:54:08,Pune,Android,Instagram,4.9.0,Control,S100036,2024-01-18 08:55:42,1,1,5,1,1,1
1476871,118709,The Meatball Shop,Italian,24.3,Weekday,4.0,31,29,2023-09-05 11:17:46,Bangalore,Android,Facebook,4.9.0,Control,S100037,2024-01-01 18:15:25,1,0,4,0,1,1
1477999,208020,Haru Gramercy Park,Japanese,29.83,Weekday,5.0,20,32,2023-11-01 04:14:50,Hyderabad,Android,Organic,4.8.1,Variant,S100038,2024-01-01 23:30:54,1,0,2,1,1,1
1476891,220693,Shake Shack,American,19.89,Weekend,,27,19,2023-09-09 18:16:30,Pune,Android,Organic,4.8.1,Variant,S100039,2024-01-12 00:47:57,1,1,4,0,1,0
1477425,378482,Chipotle Mexican Grill 199 Delivery,Mexican,19.35,Weekend,4.0,21,18,2023-11-15 22:50:17,Chennai,Android,Facebook,4.8.1,Control,S100040,2024-01-23 14:52:34,1,0,3,0,1,0
1478143,337525,TAO,Japanese,33.22,Weekend,,23,19,2023-12-19 07:40:22,Hyderabad,Android,Referral,4.8.1,Variant,S100041,2024-01-28 23:09:42,1,0,4,0,1,0
1477267,133637,RedFarm Broadway,Chinese,24.25,Weekend,5.0,22,15,2023-12-01 05:08:43,Delhi,Android,Google Ads,4.8.1,Variant,S100042,2024-01-28 10:31:30,1,0,1,1,1,0
1477728,107909,Cafeteria,American,16.44,Weekend,,33,22,2023-08-24 15:28:59,Bangalore,iOS,Instagram,4.9.0,Control,S100043,2024-01-29 02:33:08,1,0,1,1,1,1
1476908,365237,Five Guys Burgers and Fries,American,22.75,Weekend,5.0,30,20,2023-12-01 03:17:35,Bangalore,Android,Organic,4.8.1,Control,S100044,2024-01-07 02:42:58,1,0,3,1,1,1
1476581,322162,The Meatball Shop,Italian,6.74,Weekend,5.0,29,23,2023-10-23 11:05:50,Mumbai,iOS,Referral,4.8.1,Variant,S100045,2024-01-30 22:30:44,1,1,4,1,1,0
1476930,198802,DuMont Burger,American,29.05,Weekend,5.0,22,30,2023-11-24 09:30:37,Chennai,Android,Google Ads,4.9.0,Variant,S100046,2024-01-16 02:36:56,1,0,3,1,1,0
1477621,122864,Sarabeth's East,American,13.78,Weekend,4.0,34,24,2023-08-07 21:55:09,Mumbai,Android,Google Ads,4.9.0,Variant,S100047,2024-01-30 18:00:06,1,1,5,1,1,0
1478354,52037,Blue Ribbon Fried Chicken,American,19.89,Weekday,,27,24,2023-07-01 23:30:54,Mumbai,Android,Organic,4.9.0,Control,S100048,2024-01-29 07:36:49,1,0,2,1,1,0
1477251,81110,Hill Country Fried Chicken,Southern,16.93,Weekend,5.0,33,21,2023-08-29 13:53:01,Bangalore,Android,Organic,4.9.0,Variant,S100049,2024-01-17 23:08:09,1,1,6,1,1,0
1477656,300003,Bistango,Italian,21.88,Weekend,,21,19,2023-07-23 14:52:34,Delhi,Android,Referral,4.8.1,Variant,S100050,2024-01-01 18:55:48,1,0,3,0,1,1
1477883,91817,Blue Ribbon Fried Chicken,American,29.39,Weekend,,27,28,2023-12-24 18:09:47,Bangalore,iOS,Organic,4.9.0,Variant,S100051,2024-01-22 03:07:45,1,0,2,1,1,0
1477205,112036,TAO,Japanese,20.23,Weekend,5.0,22,20,2023-11-03 01:19:50,Hyderabad,Android,Referral,4.9.0,Control,S100052,2024-01-03 23:15:08,1,0,1,0,1,1
1478107,73895,RedFarm Broadway,Chinese,29.1,Weekend,,22,23,2023-11-15 07:21:23,Hyderabad,Android,Facebook,4.8.1,Variant,S100053,2024-01-10 07:13:11,1,0,3,0,1,0
1477760,130507,Jack's Wife Freda,Mediterranean,22.75,Weekend,3.0,35,29,2023-11-05 19:06:39,Mumbai,iOS,Organic,4.9.0,Variant,S100054,2024-01-11 09:09:02,1,0,4,1,1,0
1476562,129486,Mamoun's Falafel,Mediterranean,14.12,Weekend,3.0,31,15,2023-10-04 09:38:00,Bangalore,Android,Instagram,4.9.0,Control,S100055,2024-01-26 12:08:02,1,0,4,1,1,1
1477692,313340,Sushi of Gari 46,Japanese,14.6,Weekday,3.0,24,24,2023-12-21 01:46:42,Bangalore,Android,Organic,4.8.1,Control,S100056,2024-01-07 23:52:45,1,1,4,1,1,0
1477889,177250,RedFarm Hudson,Chinese,12.23,Weekday,5.0,25,33,2023-07-29 02:33:08,Mumbai,Android,Google Ads,4.8.1,Control,S100057,2024-01-22 15:42:08,1,1,4,1,1,1
1477243,176234,Prosperity Dumpling,Chinese,14.02,Weekend,5.0,20,30,2023-10-12 04:53:06,Bangalore,Android,Facebook,4.8.1,Variant,S100058,2024-01-30 14:24:49,1,1,7,1,1,0
1477560,371677,Blue Ribbon Fried Chicken,American,6.79,Weekday,,33,28,2023-07-31 19:44:06,Mumbai,Android,Organic,4.8.1,Variant,S100059,2024-01-21 12:36:55,1,0,3,1,1,0
1476896,388918,Blue Ribbon Fried Chicken,American,24.25,Weekend,,28,21,2023-11-05 00:40:52,Bangalore,Android,Organic,4.9.0,Variant,S100060,2024-01-24 18:59:15,1,0,1,0,1,0
1478327,68551,Blue Ribbon Sushi Bar & Grill,Japanese,33.03,Weekend,,33,20,2023-09-02 15:42:00,Hyderabad,iOS,Organic,4.9.0,Variant,S100061,2024-01-10 07:51:29,1,0,3,0,1,0
1476820,152786,Cafe Habana,Mexican,31.38,Weekend,4.0,23,27,2023-11-04 20:10:14,Mumbai,Android,Organic,4.8.1,Variant,S100062,2024-01-18 10:59:09,1,0,1,1,1,1
1478121,62980,Westville Hudson,American,8.34,Weekday,,22,26,2023-09-15 20:41:53,Bangalore,Android,Google Ads,4.9.0,Control,S100063,2024-01-27 16:23:33,1,0,3,1,1,0
1478077,82041,Shake Shack,American,33.03,Weekday,,22,32,2023-12-25 14:47:31,Hyderabad,iOS,Facebook,4.9.0,Control,S100064,2024-01-16 18:48:35,1,1,5,1,1,0
1478359,361616,Blue Ribbon Brooklyn,American,24.2,Weekday,3.0,22,32,2023-08-09 13:04:24,Bangalore,Android,Organic,4.9.0,Control,S100065,2024-01-15 03:00:05,1,0,2,0,1,0
1476841,398426,RedFarm Broadway,Chinese,12.46,Weekend,4.0,24,20,2023-08-09 04:27:39,Bangalore,Android,Organic,4.9.0,Control,S100066,2024-01-04 03:30:36,1,0,4,1,1,1
1477125,130820,Nobu Next Door,Japanese,15.86,Weekend,5.0,29,23,2023-08-09 04:22:37,Pune,Android,Organic,4.8.1,Control,S100067,2024-01-25 06:05:05,1,0,1,0,1,1
1477915,200074,Osteria Morini,Italian,14.55,Weekend,,34,22,2023-11-07 10:42:01,Hyderabad,iOS,Google Ads,4.9.0,Variant,S100068,2024-01-27 14:43:55,1,0,4,1,1,1
1477475,65009,Blue Ribbon Fried Chicken,American,32.93,Weekend,5.0,24,23,2023-07-17 23:08:09,Delhi,Android,Organic,4.9.0,Control,S100069,2024-01-03 06:39:29,1,0,2,0,1,0
1477932,170221,Shake Shack,American,16.98,Weekend,,22,21,2023-07-01 18:55:48,Bangalore,Android,Referral,4.9.0,Control,S100070,2024-01-15 17:15:41,1,0,1,1,1,1
1476651,58092,Shake Shack,American,8.0,Weekend,5.0,27,23,2023-07-22 03:07:45,Delhi,Android,Google Ads,4.9.0,Control,S100071,2024-01-13 02:46:37,1,1,8,1,1,0
1477730,50616,Parm,Italian,13.05,Weekend,,28,27,2023-08-01 18:41:23,Delhi,Android,Google Ads,4.8.1,Control,S100072,2024-01-19 08:06:38,1,0,4,1,1,0
1477518,133202,Sushi Samba,Japanese,29.05,Weekend,5.0,31,16,2023-11-14 09:58:51,Mumbai,iOS,Organic,4.9.0,Variant,S100073,2024-01-30 22:03:51,0,1,5,1,1,0
1477821,277898,Haandi,Indian,5.67,Weekday,4.0,23,31,2023-11-09 20:32:46,Hyderabad,iOS,Google Ads,4.8.1,Variant,S100074,2024-01-07 12:51:25,1,0,2,1,1,0
1477104,77341,The Meatball Shop,Italian,16.93,Weekend,,30,25,2023-12-25 18:21:47,Hyderabad,Android,Organic,4.9.0,Variant,S100075,2024-01-17 05:28:27,1,1,4,1,1,1
1477921,97079,Benihana,Japanese,29.29,Weekend,5.0,20,18,2023-08-16 22:48:38,Hyderabad,Android,Organic,4.9.0,Control,S100076,2024-01-16 04:22:16,1,0,3,1,1,0
1477938,150002,The Kati Roll Company,Indian,16.15,Weekend,5.0,20,29,2023-07-31 21:39:55,Chennai,Android,Instagram,4.8.1,Variant,S100077,2024-01-12 15:48:13,1,1,7,0,1,0
1476943,87472,RedFarm Hudson,Chinese,22.75,Weekend,,31,30,2023-11-26 14:30:20,Chennai,iOS,Google Ads,4.9.0,Variant,S100078,2024-01-07 17:04:39,0,1,8,1,1,0
1477581,231061,Han Dynasty,Chinese,13.34,Weekend,4.0,34,27,2023-08-27 20:18:15,Pune,Android,Organic,4.8.1,Variant,S100079,2024-01-01 06:27:27,1,0,4,1,1,0
1477975,56722,Shake Shack,American,9.75,Weekend,5.0,33,25,2023-12-04 00:24:14,Bangalore,Android,Organic,4.9.0,Control,S100080,2024-01-13 10:01:16,1,0,3,0,1,1
1477601,107909,Cafeteria,American,6.69,Weekday,4.0,21,32,2023-08-24 15:28:59,Bangalore,iOS,Instagram,4.9.0,Control,S100081,2024-01-16 07:28:25,1,0,1,0,1,0
1477790,133617,Shake Shack,American,4.75,Weekday,4.0,35,28,2023-09-13 01:13:06,Delhi,Android,Organic,4.9.0,Variant,S100082,2024-01-21 11:00:40,1,1,7,0,1,0
1477385,67538,Chipotle Mexican Grill 199 Delivery,Mexican,12.56,Weekend,5.0,22,18,2023-11-30 15:07:57,Pune,Android,Organic,4.9.0,Variant,S100083,2024-01-30 06:37:47,1,0,4,0,1,0
1478423,129969,The Meatball Shop,Italian,21.2,Weekend,,34,16,2023-10-19 05:44:42,Mumbai,iOS,Referral,4.8.1,Control,S100084,2024-01-15 20:59:20,1,0,3,0,1,1
1477051,57174,Tortaria,Mexican,19.31,Weekend,,27,28,2023-07-22 15:42:08,Bangalore,Android,Organic,4.9.0,Variant,S100085,2024-01-19 15:28:28,1,1,6,1,1,1
1476796,78939,Nobu Next Door,Japanese,16.3,Weekday,3.0,20,24,2023-08-18 02:14:59,Bangalore,Android,Organic,4.9.0,Variant,S100086,2024-01-22 19:57:02,1,0,2,0,1,0
1478031,309513,Otto Enoteca Pizzeria,Italian,13.05,Weekday,5.0,33,27,2023-11-04 16:34:57,Delhi,Android,Referral,4.9.0,Control,S100087,2024-01-12 07:52:12,0,0,1,0,1,0
1477740,129798,TAO,Japanese,25.27,Weekday,4.0,24,24,2023-10-26 14:47:03,Mumbai,iOS,Google Ads,4.9.0,Variant,S100088,2024-01-17 11:57:52,1,1,5,0,1,0
1478384,184085,Hill Country Fried Chicken,Southern,14.79,Weekend,5.0,35,15,2023-09-11 08:04:19,Chennai,Android,Google Ads,4.9.0,Control,S100089,2024-01-01 13:36:24,1,0,4,1,1,0
1478183,329710,Shake Shack,American,5.72,Weekday,3.0,31,24,2023-12-02 23:06:41,Bangalore,Android,Google Ads,4.8.1,Variant,S100090,2024-01-28 18:41:10,1,0,3,1,1,0
1477569,65009,Chote Nawab,Indian,16.15,Weekend,5.0,24,30,2023-07-17 23:08:09,Delhi,Android,Organic,4.9.0,Control,S100091,2024-01-28 08:04:24,0,0,1,1,1,1
1478211,154030,RedFarm Hudson,Chinese,33.03,Weekend,4.0,26,22,2023-12-11 02:14:21,Delhi,Android,Organic,4.9.0,Control,S100092,2024-01-18 09:53:04,1,1,8,1,1,1
1476635,86731,Mission Cantina,Mexican,16.2,Weekend,5.0,31,18,2023-07-27 16:23:33,Bangalore,Android,Facebook,4.8.1,Control,S100093,2024-01-24 12:54:03,1,0,2,0,1,0
1477646,306119,Xi'an Famous Foods,Chinese,9.22,Weekday,,31,32,2023-08-15 06:09:57,Bangalore,Android,Instagram,4.9.0,Control,S100094,2024-01-26 19:41:59,1,0,3,1,1,0
1477027,164016,Blue Ribbon Fried Chicken,American,16.39,Weekend,,27,22,2023-09-03 07:53:39,Bangalore,Android,Instagram,4.8.1,Variant,S100095,2024-01-21 06:42:06,1,0,2,0,1,0
1476921,121476,Blue Ribbon Fried Chicken,American,12.18,Weekday,3.0,29,27,2023-09-01 16:05:09,Delhi,Android,Instagram,4.8.1,Control,S100096,2024-01-02 13:52:10,1,1,7,1,1,0
1476689,305522,Shake Shack,American,24.2,Weekday,4.0,29,29,2023-07-04 03:30:36,Mumbai,Android,Facebook,4.9.0,Variant,S100097,2024-01-30 20:05:06,1,1,8,1,1,0
1477767,68976,Sarabeth's East,American,17.03,Weekend,3.0,26,30,2023-08-11 11:45:02,Mumbai,Android,Referral,4.9.0,Variant,S100098,2024-01-21 02:31:35,1,0,1,1,1,0
1476582,60703,Cafe Habana,Mexican,6.79,Weekday,,33,25,2023-10-30 08:15:13,Hyderabad,Android,Organic,4.8.1,Control,S100099,2024-01-25 10:25:38,1,0,1,0,1,1
1478169,80460,Rubirosa,Italian,21.83,Weekend,3.0,30,27,2023-09-23 06:36:09,Chennai,iOS,Google Ads,4.8.1,Control,S100100,2024-01-07 18:49:06,1,0,1,1,1,1
1477702,128600,Blue Ribbon Fried Chicken,American,31.29,Weekday,,22,33,2023-07-27 14:43:55,Hyderabad,Android,Google Ads,4.9.0,Control,S100101,2024-01-25 10:03:38,1,1,7,1,1,1
1477240,142356,Blue Ribbon Sushi,Japanese,11.83,Weekend,4.0,26,21,2023-10-08 08:49:37,Delhi,iOS,Google Ads,4.9.0,Variant,S100102,2024-01-26 19:56:25,1,0,1,1,1,0
1476564,83287,Five Guys Burgers and Fries,American,24.3,Weekend,5.0,30,20,2023-07-31 18:28:25,Hyderabad,Android,Referral,4.8.1,Variant,S100103,2024-01-04 08:16:38,1,0,1,1,1,0
1478408,134152,The Meatball Shop,Italian,22.26,Weekend,,28,25,2023-07-15 17:15:41,Hyderabad,Android,Organic,4.8.1,Control,S100104,2024-01-22 08:03:20,1,1,7,0,1,1
1477824,345899,TAO,Japanese,20.47,Weekend,4.0,26,30,2023-08-13 15:01:55,Hyderabad,Android,Organic,4.9.0,Control,S100105,2024-01-13 11:45:11,1,0,1,1,1,1
1477617,38050,Blue Ribbon Sushi,Japanese,12.18,Weekend,5.0,28,25,2023-07-13 02:46:37,Hyderabad,Android,Facebook,4.8.1,Variant,S100106,2024-01-12 12:41:47,1,0,3,1,1,0
1477978,259341,Joe's Shanghai,Chinese,15.81,Weekend,5.0,20,26,2023-08-05 06:27:42,Delhi,iOS,Referral,4.9.0,Variant,S100107,2024-01-05 01:34:39,1,1,6,1,1,0
1477281,309513,Otto Enoteca Pizzeria,Italian,22.36,Weekend,5.0,26,27,2023-11-04 16:34:57,Delhi,Android,Referral,4.9.0,Control,S100108,2024-01-22 15:30:30,1,0,3,1,1,0
1478223,234089,Blue Ribbon Sushi,Japanese,8.68,Weekend,5.0,34,27,2023-10-24 10:16:46,Mumbai,Android,Referral,4.9.0,Variant,S100109,2024-01-06 15:59:30,1,1,8,1,1,0
1477364,125123,Shake Shack,American,21.83,Weekend,,23,22,2023-11-05 00:13:59,Bangalore,iOS,Organic,4.9.0,Variant,S100110,2024-01-24 17:38:51,1,0,2,1,1,0
1476715,365244,Bareburger,American,16.3,Weekday,,20,28,2023-07-07 12:51:25,Chennai,Android,Organic,4.8.1,Control,S100111,2024-01-16 07:08:05,1,0,4,1,1,1
1476654,63020,The Odeon,American,12.9,Weekday,3.0,31,28,2023-08-03 07:46:30,Hyderabad,Android,Instagram,4.9.0,Control,S100112,2024-01-25 13:21:30,1,0,4,1,1,1
1477296,222879,Parm,Italian,29.15,Weekday,5.0,23,27,2023-09-03 18:33:31,Mumbai,Android,Google Ads,4.9.0,Control,S100113,2024-01-27 14:33:36,1,0,3,1,1,0
1478321,275535,Pongsri Thai,Thai,13.05,Weekday,4.0,31,24,2023-10-21 06:32:24,Chennai,Android,Instagram,4.9.0,Control,S100114,2024-01-06 16:27:14,1,1,6,0,1,0
1477942,49793,Yama Japanese Restaurant,Japanese,22.36,Weekend,5.0,30,16,2023-07-12 15:48:13,Mumbai,Android,Referral,4.9.0,Control,S100115,2024-01-23 13:11:00,1,0,1,1,1,1
1477552,137565,Shake Shack,American,31.29,Weekday,,26,32,2023-08-27 15:45:05,Hyderabad,iOS,Organic,4.8.1,Variant,S100116,2024-01-02 14:39:42,1,1,6,1,1,0
1476770,65009,Blue Ribbon Fried Chicken,American,7.86,Weekday,4.0,22,33,2023-07-17 23:08:09,Delhi,Android,Organic,4.9.0,Control,S100117,2024-01-18 14:31:41,1,0,2,1,1,1
1476558,214394,Yama Japanese Restaurant,Japanese,16.1,Weekend,,33,27,2023-08-25 06:09:43,Bangalore,Android,Google Ads,4.9.0,Control,S100118,2024-01-14 23:15:14,1,0,1,1,1,0
1477993,91907,Momoya,Japanese,16.98,Weekday,5.0,31,32,2023-08-08 23:10:12,Pune,Android,Organic,4.9.0,Control,S100119,2024-01-03 03:07:44,1,0,1,0,1,1
1478072,82041,Osteria Morini,Italian,12.95,Weekend,5.0,26,28,2023-12-25 14:47:31,Hyderabad,iOS,Facebook,4.9.0,Control,S100120,2024-01-03 11:27:00,1,0,2,0,1,0
1476935,59419,Blue Ribbon Fried Chicken,American,11.69,Weekend,5.0,21,24,2023-10-06 08:37:35,Mumbai,Android,Google Ads,4.9.0,Variant,S100121,2024-01-23 20:03:10,1,1,7,1,1,1
1477255,50199,Five Guys Burgers and Fries,American,12.13,Weekend,,26,15,2023-08-30 23:06:20,Hyderabad,Android,Organic,4.9.0,Variant,S100122,2024-01-11 09:17:01,1,0,2,1,1,0
1477012,325210,The Meatball Shop,American,12.32,Weekend,,31,19,2023-09-29 08:41:53,Bangalore,iOS,Organic,4.9.0,Variant,S100123,2024-01-20 14:41:30,1,0,4,1,1,1
1477704,100999,Balthazar Boulangerie,French,12.13,Weekend,,22,27,2023-08-01 07:10:38,Delhi,iOS,Google Ads,4.9.0,Variant,S100124,2024-01-14 12:22:32,1,0,3,0,1,0
1477188,146588,Sushi of Gari,Japanese,12.18,Weekday,5.0,25,24,2023-07-31 10:45:08,Mumbai,Android,Facebook,4.8.1,Control,S100125,2024-01-27 19:22:01,1,0,2,0,1,0
1478348,310051,Parm,Italian,14.99,Weekend,,34,24,2023-08-10 10:44:39,Mumbai,Android,Organic,4.9.0,Variant,S100126,2024-01-02 10:00:09,1,1,7,1,1,1
1477405,128243,The Meatball Shop,Italian,6.74,Weekend,5.0,26,30,2023-09-02 20:33:29,Chennai,Android,Instagram,4.9.0,Control,S100127,2024-01-24 08:11:56,1,0,4,1,1,1
1476826,53543,Caf China,Chinese,24.3,Weekend,,20,23,2023-07-21 11:00:40,Delhi,iOS,Organic,4.8.1,Variant,S100128,2024-01-28 04:59:30,1,0,4,0,1,0
1478340,230535,Shake Shack,American,10.38,Weekend,3.0,24,29,2023-12-26 11:56:43,Bangalore,Android,Organic,4.8.1,Control,S100129,2024-01-09 21:46:38,1,0,2,0,1,0
1477044,127122,RedFarm Broadway,Chinese,6.79,Weekend,5.0,33,28,2023-09-16 19:42:51,Hyderabad,Android,Organic,4.9.0,Variant,S100130,2024-01-13 17:09:51,1,0,1,0,1,1
1476978,177250,RedFarm Hudson,Chinese,25.27,Weekend,,34,28,2023-07-29 02:33:08,Mumbai,Android,Google Ads,4.8.1,Control,S100131,2024-01-11 02:52:51,1,1,6,1,1,1
1477287,111125,Otto Enoteca Pizzeria,Italian,14.99,Weekend,,29,21,2023-12-28 15:02:19,Bangalore,iOS,Organic,4.9.0,Control,S100132,2024-01-17 21:32:13,1,0,1,1,1,1
1477110,144997,RedFarm Hudson,Chinese,29.05,Weekend,4.0,22,28,2023-11-05 08:12:28,Delhi,Android,Referral,4.9.0,Control,S100133,2024-01-14 08:40:54,1,0,3,1,1,1
